website;performance;accessibility;seo;best-practices
999plumber-reading.co.uk;0.95;0.97;0.91;0.8
yogapedia.com;0.81;0.82;0.92;0.73
gresnews.com;0.44;0.76;0.73;0.67
solar-partners.jp;0.94;0.89;0.83;0.73
afvalscheidingswijzer.nl;0.97;0.95;1;0.93
bestnewbingosites.co.uk;0.98;0.97;1;0.93
kabarjombang.com;0.86;0.93;1;0.87
newagemediasolutions.com;0.51;0.94;0.83;0.93
compliancesigns.com;0.84;0.71;0.92;0.87
mercadoprop.la;1;0.9;0.92;1
gornergrat.ch;0.73;0.79;0.91;0.87
fullhub.ru;0.97;0.67;1;0.73
ucuzkitapal.com;0.94;0.93;0.92;0.67
newzhook.com;0.51;1;0.92;0.73
safemotorist.com;0.82;0.79;1;0.8
academyofmartialarts.com;0.88;0.91;0.91;1
couponsforyourfamily.com;0.94;0.79;0.83;0.87
bessergesundleben.de;0.83;0.96;1;0.87
gem1music.com;0.96;0.86;1;0.8
beautyandthebeets.com;0.97;0.94;1;0.93
haskarmedikal.com;0.86;0.84;1;1
bigfun.vip;0.78;0.88;0.92;0.93
neshanonline.com;0.51;0.84;1;0.73
restauracionnews.com;0.64;0.7;0.83;0.87
euslot.com;0.25;0.64;0.92;0.8
calciomercatonews.com;0.85;0.76;0.83;0.8
rus.rusex.me;1;0.68;0.92;0.8
debatepolitics.com;0.94;0.94;1;0.93
onmanorama.com;0.77;0.78;0.92;0.73
hardforum.com;0.95;1;1;1
newsweek.com;0.94;0.86;0.83;0.75
pushbird.com;0.98;0.95;0.91;0.93
bumm.sk;0.8;0.63;0.82;0.8
orangeclickmedia.com;0.99;0.81;1;0.93
kisahdunia.com;0.79;0.79;1;0.67
energibangsa.id;0.63;0.72;0.92;0.67
spectrapremium.com;0.92;0.92;1;1
pornojenny.com;1;0.98;1;0.93
okdiario.com;0.92;0.73;0.83;0.8
metromatinee.com;0.62;0.59;0.83;0.73
sporttube.com;0.9;0.6;0.82;0.73
yoga-vidya.de;0.75;0.91;0.92;0.8
wapcar.my;0.55;0.82;0.75;0.87
ordernaif.com;0.64;0.74;0.82;0.87
intrcity.com;0.82;0.85;1;0.93
radiotavisupleba.ge;0.89;0.76;0.92;0.87
laraza.com;0.98;0.77;1;1
caraisins.com;0.44;0.63;0.75;0.67
grossovacanze.com;0.82;0.77;0.92;0.8
bartardigital.com;0.71;0.86;0.83;0.8
cinnamon.video;0.68;0.69;0.73;0.67
karylskulinarykrusade.com;0.93;0.96;0.92;1
smoothjazzflorida.com;0.99;0.83;0.91;0.8
wtf.com;0.91;0.79;0.92;0.93
iie.ac.za;0.89;0.75;0.75;0.8
satorify.io;0.85;0.56;0.82;0.87
channelstv.com;0.98;0.65;0.73;0.67
planet-liebe.com;0.99;0.87;0.83;0.93
sellsa.co.za;0.5;0.67;0.73;0.8
connexion-emploi.com;0.93;0.96;0.83;0.8
so3ody.com;0.71;0.74;0.92;0.6
turboyadak.com;0.72;0.68;0.83;0.87
majorleagueeating.com;0.89;0.78;0.7;0.73
smartsavvyliving.com;0.98;0.95;1;1
izmirkenthaber.com.tr;0.85;0.76;1;0.73
latinawoman.org;0.86;0.94;0.92;0.93
reverseau.com;0.97;0.85;0.92;0.93
exclusiveresorts.com;0.59;0.6;0.73;0.73
sinoptik.pl;1;0.76;0.67;0.87
hansanders.nl;0.72;0.89;0.91;0.8
neoprofs.org;0.85;0.91;1;0.8
lavalencia.com;0.44;0.95;0.92;0.67
zellbury.com;0.57;0.82;0.82;0.8
themakeupdummy.com;0.92;0.97;0.92;0.8
speurders.nl;0.59;0.89;0.91;0.8
mintishop.pl;0.53;0.64;0.83;0.73
woop.id;0.74;0.78;1;0.87
ohhtee.com;0.95;0.94;1;0.93
chilindo.com;0.39;0.84;0.82;0.87
rcmoment.com;0.8;0.85;0.75;0.6
luxe.digital;0.94;0.97;0.92;1
hotmovs.com;1;0.78;0.92;0.87
childrensmiraclenetworkhospitals.org;0.83;0.96;0.92;0.87
mediafreeware.com;0.99;0.97;1;0.93
thebitcoinstrip.com;0.51;0.76;0.67;0.8
mezzoguild.com;0.98;0.98;0.92;1
born2be.ua;0.77;0.71;0.83;0.67
vierumaki.fi;0.83;0.75;0.55;1
iran24shop.com;0.53;0.68;0.83;0.8
geelongsportshub.skedda.com;0.77;0.88;1;1
howmany.wiki;0.98;0.96;1;0.87
penguincbd.com;0.72;0.88;0.82;0.93
raymandnet.ir;0.84;0.74;0.83;1
koreaboo.com;0.97;0.78;0.73;0.8
sportsreal.co.kr;0.58;0.61;0.67;0.6
dickflash.com;0.97;0.73;0.92;0.93
animixplay.to;1;0.44;0.82;0.93
telonko.com;0.86;0.78;1;0.87
abrazohealth.com;0.72;0.98;1;0.8
vistawebco.com;0.8;0.78;0.75;0.8
deanhume.com;0.96;0.75;0.82;0.87
holidayguru.nl;0.52;0.88;0.92;0.73
livechat.e-auksion.uz;0.75;0.67;0.73;0.8
westviamidwest.com;1;0.95;1;1
inside-channels.ch;0.96;0.76;0.83;0.93
azatliq.org;0.89;0.77;0.83;0.87
christie.nhs.uk;0.9;1;0.92;0.73
shine.com.au;0.88;0.98;0.92;0.93
sleepnumber.com;0.49;0.98;0.92;0.87
weekendsherpa.com;0.87;0.97;1;0.93
pony.town;0.77;0.9;1;0.87
ria.ru;0.76;0.49;0.83;0.73
orfonline.org;0.69;0.75;0.75;0.73
guykawasaki.com;0.93;0.74;0.83;0.87
grupanya.com;0.82;0.71;0.75;0.73
dominvrt.si;0.8;0.75;0.82;0.73
axamansard.com;0.75;0.88;0.83;0.67
midnrreservations.com;0.14;0.97;0.89;0.87
hacktivizm.org;0.83;0.73;0.83;0.87
sophiedancesantamonica.com;0.99;0.88;0.82;1
pantheon-esp.com;0.96;0.94;1;1
polit.info;0.81;0.79;1;0.8
bearstech.com;0.99;0.95;0.92;1
tvfun.live;1;1;1;0.93
versus.com;0.93;0.88;0.92;1
ninjatech.io;0.94;0.89;0.91;1
forbesmiddleeast.com;0.68;0.74;0.73;0.8
kulfyapp.com;0.61;0.88;0.91;0.87
gadgetadvisor.com;0.94;0.83;0.92;0.93
doublealpha.biz;0.95;0.86;1;0.8
jetblue.com;0.34;0.89;1;0.67
vagrantsoftheworld.com;0.97;0.97;1;1
chgk.info;0.93;0.83;1;1
msverige.se;0.91;0.98;0.91;0.8
puntocellulare.it;0.78;0.82;0.92;0.8
hillarys.co.uk;0.93;0.98;1;0.93
nwmsrocks.com;0.39;0.76;0.83;0.67
rooftopfilms.com;0.88;0.76;0.83;0.87
trikart.com;0.09;0.74;0.91;0.8
otakugame.fr;0.53;0.86;1;0.93
englishsummary.com;0.87;0.95;0.92;0.73
porngo.xxx;0.99;0.63;1;0.8
gscimbom.com;0.93;0.87;1;0.8
shk-4you.de;0.97;0.81;0.91;0.73
healthiertalk.com;0.85;0.63;0.92;0.8
aszdziennik.pl;0.75;0.84;0.91;0.87
minnambalam.com;0.51;0.67;0.9;0.8
pinkoi.com;0.48;0.91;0.83;0.87
technik.community;0.99;0.94;1;0.8
starpumpalliance.com;0.77;0.9;0.92;0.87
fairtradeamerica.org;0.88;0.96;1;0.87
qola.ir;0.98;0.76;0.83;0.93
tafrihicenter.ir;0.9;0.86;0.92;0.87
enigma.ua;0.69;0.63;0.91;0.93
coin.dance;0.88;0.88;0.91;0.87
toniguy.com;0.94;0.87;0.75;0.93
see-ss.com;0.89;0.75;1;0.8
zugspitzarena.com;0.58;0.7;1;0.73
gsmforum.ru;0.91;0.81;0.91;0.93
ling.pl;0.92;0.74;0.91;0.87
blacktowhite.net;0.94;0.96;1;1
agro.ru;0.99;0.63;0.92;0.87
nts.live;0.88;0.97;0.83;1
qgr.ph;0.98;0.92;0.82;0.93
sockscap64.com;0.84;0.79;0.83;0.87
lemoniteur.fr;0.83;0.92;0.91;0.93
fsmone.com.my;0.28;0.78;0.73;0.73
dziennik.mobireg.pl;0.95;0.72;0.92;0.67
europa-lkw.de;0.98;0.88;1;0.87
blogit.fi;0.85;0.8;0.91;0.87
magadanmedia.ru;0.55;0.72;0.82;0.67
booksandbao.com;1;0.95;0.92;1
mycitizensnews.com;0.68;0.8;0.75;0.73
itweek.ru;0.59;0.44;0.82;0.6
bonnegueule.fr;0.87;0.96;0.83;0.73
billiger-mietwagen.de;0.95;0.98;1;0.87
laws010.com;0.97;0.94;1;0.93
stake.com;0.5;0.62;0.82;0.8
vichy.co.uk;0.79;0.92;0.83;0.8
bruun-rasmussen.dk;0.97;0.98;0.83;1
musio.net.br;0.7;0.88;1;0.93
rphangvn.net;0.54;0.83;0.92;0.8
lemona.lt;0.85;0.84;1;1
redlight.dev;0.99;0.97;1;0.93
skor.id;0.57;0.75;0.83;0.6
pelak.com;0.74;0.8;0.75;0.8
theonlineinvestor.com;0.55;0.6;0.82;0.67
dubaioutletmall.com;0.53;0.79;0.8;0.6
vprok.ru;0.28;0.61;0.92;0.8
stern.de;0.82;0.89;1;0.87
bdoutdoors.com;0.56;0.75;0.83;0.8
dualshockers.com;0.97;0.74;0.92;0.93
powercor.com.au;0.68;0.94;0.92;0.87
toplearn.com;0.95;0.67;0.82;0.67
freecreatives.com;1;0.96;0.92;0.8
patheos.com;0.83;0.83;0.67;0.69
vstyle.vn;0.21;0.61;0.91;0.8
spainsnews.com;0.86;0.9;0.75;0.87
sportsbook.matchbets.com;0.68;0.68;0.9;0.87
youwebcams.net;0.93;0.86;0.92;0.6
greenweez.com;0.83;0.87;1;0.67
azeta.lv;0.34;0.7;0.92;0.73
appsco.pe;0.87;0.51;0.8;0.93
bitpr0.com;0.95;0.97;1;0.93
thoroldtoday.ca;0.88;1;1;0.8
saymineapp.com;0.7;0.79;0.91;0.8
travelbags.nl;0.9;0.71;0.83;0.93
urlebird.com;0.98;0.89;1;0.87
squadshop.net;0.66;0.68;0.75;0.87
every-layout.dev;1;1;0.9;1
swaay.com;0.72;0.94;1;0.87
iso20022.org;1;0.96;0.83;0.93
zee5.com;0.57;0.81;0.92;0.8
sbb.ch;0.8;0.92;1;0.87
caramel.la;0.77;0.88;0.82;0.87
meidaan.com;0.89;0.96;0.83;1
store.sap.com;0.31;0.87;0.55;0.67
faradeed.ir;0.65;0.7;0.82;0.73
erikrunyon.com;0.99;1;1;1
islandwildseafoods.com;0.99;0.95;0.91;0.93
coronatracker.com;0.84;0.95;0.9;0.93
rolltidebama.com;0.71;0.85;1;0.93
bizimtv.com.tr;0.73;0.7;0.92;0.87
bike-magazin.de;0.71;0.77;0.67;0.8
nusaybinim.com;0.59;0.73;0.91;0.6
in4net.com;0.98;0.58;0.9;1
sagame6699.com;0.82;0.8;0.82;0.67
eden-court.co.uk;0.83;0.98;1;0.93
react-tutorial.app;1;0.98;1;1
maggotdrowning.com;0.63;0.81;0.73;0.8
dogonews.com;0.7;0.83;0.73;0.93
pakamera.pl;0.82;0.71;0.83;1
tidyhive.com;0.76;0.8;0.73;0.67
onlinepsychologydegree.info;0.98;0.82;0.83;0.93
jeux-gratuits.com;0.93;0.8;0.92;0.6
unicyclist.com;0.98;1;1;0.93
marchandash.com;0.94;0.75;1;1
mythiccraft.io;0.8;0.79;0.9;0.73
iparts.pl;0.75;0.72;0.83;0.6
afribobo.com;0.86;0.9;1;0.93
abplive.com;0.54;0.68;0.83;0.53
winboard.org;0.91;0.96;0.83;0.93
mostpop.co.kr;0.62;0.64;0.83;0.8
tamilmurasu.com.sg;0.48;0.71;0.83;0.6
elitmus.com;0.79;0.86;0.92;0.87
amuse.com;0.32;0.88;1;1
seaportboston.com;0.97;0.9;0.83;0.73
gdl.de;0.96;0.9;0.8;0.93
jamaran.news;0.66;0.73;1;0.67
horizn-studios.com;0.74;0.8;0.83;1
tiendatercom.com;0.97;0.83;0.82;1
seo24.ir;0.69;0.96;0.92;0.73
savaari.com;0.61;0.8;0.75;0.73
confinapp.cat;0.8;0.87;0.82;1
techtip.ir;0.9;0.92;1;0.87
verv.com;0.97;0.92;1;0.87
grimsbytelegraph.co.uk;0.81;0.94;0.92;0.73
slobodnaevropa.org;0.9;0.77;0.92;0.8
tinytap.com;0.7;0.54;0.83;0.6
multifoto.ru;0.26;0.77;0.83;0.67
withdrawalfees.com;0.97;0.98;0.9;1
alemancenter.com;0.74;0.86;1;0.87
bombbar.ru;0.16;0.83;0.82;0.6
troc.com;0.94;0.82;1;0.8
zrzutka.pl;0.67;0.63;0.91;0.8
whatsonchain.com;0.94;0.85;0.91;0.87
maggieappleton.com;0.84;0.96;1;1
stmoritz.com;0.88;0.69;1;0.8
hemengeliriz.com;0.98;0.82;1;0.8
fnn24.com;0.64;0.76;0.92;0.8
eventim.ro;0.82;0.64;0.83;0.87
pollunit.com;0.95;0.75;0.83;0.93
tendenzias.com;0.83;0.75;0.92;0.93
unitel.mn;0.4;0.94;0.91;0.73
bertina.us;0.83;0.52;0.82;0.73
artsdiscounttowing.com;0.98;0.95;1;0.93
blocktivity.info;0.73;0.82;0.82;0.87
planetromeo.com;0.84;0.92;1;0.73
price-hunt.com;0.91;0.74;0.92;0.93
cabotwealth.com;0.61;0.49;1;0.67
asparkleofgenius.com;0.99;0.88;0.83;0.87
dealsmagnet.com;0.72;0.72;0.83;0.93
chat.v-sys.org;0.76;0.67;0.73;0.8
metabunk.org;0.47;0.88;0.91;0.87
calrec.com;0.69;0.76;0.75;0.67
molekule.com;0.6;0.83;0.92;0.8
ytranking.net;0.73;0.83;1;0.8
calmatters.org;0.82;0.92;0.83;0.93
bodenmais.de;0.76;0.73;0.8;0.6
senaaires.com.br;0.41;0.92;0.75;0.67
semilac.pl;0.64;0.86;0.82;0.73
christianstudylibrary.org;0.96;0.88;0.67;0.93
deuter.com;0.92;0.71;0.75;0.8
hitcare.com;1;0.93;0.91;1
sarkarijobs.ind.in;0.92;0.86;1;0.87
gooshiplaza.com;0.83;0.67;0.92;0.87
vantaansanomat.fi;0.64;0.8;0.91;0.67
chitachok.ru;0.85;0.92;1;0.8
microsofters.com;0.99;0.83;0.92;0.8
niigata-nippo.co.jp;0.09;0.74;0.73;0.6
ourcraftymom.com;0.9;0.98;0.92;1
anadoludabugun.com.tr;0.69;0.78;0.92;0.93
moro.com;0.66;0.81;1;0.73
dailyvoice.co.za;0.88;0.94;0.92;0.87
sarahmaker.com;1;0.98;1;1
gs2us.com;0.89;0.82;1;0.93
grammatika-rus.ru;0.94;0.83;0.91;0.73
mycbselect.com;0.47;0.74;0.8;0.73
vtvgujarati.com;0.69;0.68;0.83;0.73
diariodevallarta.com;0.66;0.6;0.83;0.73
orioniconlibrary.com;0.89;0.86;0.9;0.87
1kuwaitjobs.com;0.99;0.82;1;0.8
moda.com.pe;0.54;0.77;1;0.73
burgerking.com.br;0.56;0.83;0.91;0.8
birkinstock.shoes;0.66;0.95;1;0.93
covidopoly.io;0.17;0.56;0.91;0.87
foodsharing.de;0.96;0.85;0.91;0.87
umonics.sg;0.55;0.97;0.83;0.87
kuntarekry.fi;0.76;0.91;1;0.87
etfchannel.com;0.49;0.6;0.82;0.6
nicecactus.gg;0.9;0.82;0.67;0.8
pinkzorro.ru;0.77;0.78;0.92;0.8
businessupnorth.co.uk;0.72;0.79;0.92;0.67
chrome-stats.com;0.97;0.89;0.92;0.93
allaboutscience.org;0.98;0.93;0.83;0.93
avclub.gr;0.97;0.89;1;1
nordlocker.com;0.99;0.79;0.92;1
next.privat24.ua;0.44;0.55;0.73;1
wmeritum.pl;0.87;0.75;0.92;0.8
kahtanews.com;0.77;0.84;1;0.67
littletags.com;0.43;0.71;0.82;0.73
tribunadejundiai.com.br;0.86;0.71;0.83;0.67
resumetrud.com;0.74;0.85;1;0.73
ozon.travel;0.87;0.8;0.91;0.8
welcomecu.org;0.61;0.98;0.92;0.87
esaimaa.fi;0.88;0.86;1;0.87
nightrush.com;0.65;0.67;0.75;0.87
pointerpointer.com;1;1;1;0.93
kuchicomichan.com;0.72;0.89;1;0.8
onthemarket.com;0.87;0.98;0.92;0.73
dating-network.com;1;0.97;0.92;1
wildearth.tv;0.8;0.86;0.58;0.93
gmall.com;0.89;1;0.91;0.93
scopebuilding.co.nz;0.6;0.97;0.83;0.87
banglaconverter.co;0.83;0.74;0.92;0.8
museum-digital.de;1;0.88;0.91;1
nanowatch.org;0.86;0.84;1;0.8
bbcsamachar.in;0.73;0.8;0.83;0.8
delivery-club.ru;0.56;0.54;0.92;0.87
pousadas.pt;0.78;0.63;0.75;0.67
contrib.com;0.68;0.9;0.7;0.73
nl.webuy.com;0.48;0.78;0.82;0.87
gendo.app;0.7;0.85;0.89;0.93
infocar.ua;0.86;0.59;0.92;0.73
clubwarp.com;0.76;0.88;0.92;0.8
olivemagazine.com;0.95;0.88;1;0.73
belvilla.nl;0.59;0.93;0.8;0.67
a.anotherindianwinter.ru;0.91;0.92;0.83;0.87
sso-moon.com;0.52;0.49;0.83;0.6
gearbest.com;0.83;0.71;0.83;0.67
hosadigantha.com;0.53;0.94;0.83;0.8
blogging-life.com;0.45;0.66;0.91;0.67
oranews.tv;0.65;0.72;0.67;0.73
whatismycountry.com;0.92;0.88;1;0.93
msngames.online;0.99;0.73;0.92;0.8
donbalon.com;0.97;0.97;1;1
parvaresheafkar.com;0.6;0.93;0.92;0.87
pwsweather.com;0.64;0.92;1;0.8
iefimerida.gr;0.99;0.88;0.92;0.88
nativerootscannabis.com;0.94;0.84;0.92;0.8
cartermuseum.org;0.77;1;0.92;0.8
jeu-a-telecharger.fr;0.82;0.83;0.92;0.53
dailyreckoning.com.au;0.88;0.93;0.83;0.87
braveindianews.com;0.83;0.82;1;0.8
ganjipakhsh.com;0.85;0.81;0.83;0.73
aldirasa.com;0.84;0.98;0.92;0.8
unitedtraders.com;0.55;0.83;0.91;0.73
niniban.com;0.75;0.55;0.91;0.73
techno-rad.com;0.73;0.92;0.83;1
amoad.com;0.98;0.94;0.91;1
codigosinternacionales.com;0.99;0.86;1;0.87
camptoo.nl;0.65;0.77;0.92;0.73
taxcloud.com;0.63;0.9;0.91;0.8
500cosmetics.com;0.65;0.65;0.73;0.73
bonakchi.com;0.52;0.81;0.83;0.67
betapage.co;0.83;0.6;0.7;0.87
civil808.com;0.85;0.84;0.92;0.8
orderfullfillment.club;0.9;0.98;0.82;1
nacional.hr;0.83;0.7;0.75;0.8
kakaopay.com;0.78;0.67;0.91;0.93
gladbachlive.de;0.99;0.91;1;0.93
backend.autodigi.net;0.48;0.58;0.82;0.93
way2earning.com;0.89;0.87;1;0.93
tonymacx86.com;0.77;0.79;0.64;0.8
komakhaal.com;0.76;0.69;0.83;0.87
skaties.lv;0.73;0.75;0.73;0.53
fetedelanature.com;0.8;0.87;0.92;0.93
bethelbioluxury.com;0.54;0.9;0.83;0.73
pornomico.com;1;0.98;1;1
lotto432.com;0.68;0.82;0.75;0.93
hellovidek.hu;0.82;0.7;0.82;0.73
sinarmasland.com;0.57;0.79;0.73;0.73
sfmeble.pl;0.98;1;1;1
community.bookkeep.com;1;1;0.92;1
livechat.avtozvuk.ua;0.75;0.67;0.73;0.8
sport.ua;0.98;0.66;1;0.8
prismreports.org;0.92;0.91;1;1
99taghvim.ir;0.82;0.76;0.92;0.87
talktofrank.com;0.88;0.94;1;1
iphonetricks.org;0.94;0.65;0.75;0.8
itechua.com;0.84;0.75;0.92;0.67
epantofi.ro;0.88;0.81;0.82;0.73
experify.io;0.85;0.52;0.82;0.93
louderwithcrowder.com;0.77;0.88;0.82;0.87
antena3.com;0.86;0.66;1;0.73
baratos-vuelos.es;0.9;0.82;1;0.87
victor-mochere.com;0.48;0.8;0.92;0.8
theonegenerator.com;0.79;0.65;0.91;0.8
esylern.com;0.64;0.92;0.83;0.87
ecowatch.com;0.97;0.77;0.83;0.87
f2school.com;0.84;0.91;0.92;0.87
satoshiturk.com;0.91;0.8;0.83;0.8
coldwellhomes.com;0.76;0.97;0.8;0.67
knitting-warehouse.com;0.76;0.96;1;0.8
festivaldecarcassonne.fr;0.97;0.92;0.83;0.87
fundamenta.cl;0.8;0.84;0.92;0.8
bibbiaedu.it;0.92;0.98;1;0.93
caputos.com;0.67;0.8;0.75;0.67
fixyourfunnel.com;0.95;0.91;0.91;0.67
retentionrocket.com;0.69;0.95;0.75;0.93
bitcoincasino.us;0.24;0.78;0.82;0.73
21.com;0.55;0.7;0.73;0.73
illustrationx.com;0.89;0.86;0.83;0.87
hootoo.com;0.65;0.68;0.91;0.87
codespark.com;0.89;0.79;0.92;0.73
learndigital.withgoogle.com;0.84;0.79;0.83;0.67
follow.it;0.73;0.77;0.91;0.93
soyreferee.com;0.95;0.87;0.92;0.93
crystalbet.com;0.39;0.66;0.67;0.67
manforhimself.com;0.61;0.82;0.83;0.8
jual-apartemen.com;0.85;0.91;0.92;0.8
holidayiq.com;0.9;0.63;1;0.87
midlifehealthyliving.com;1;0.98;1;1
craftlog.com;0.94;0.93;1;0.87
hormiimpres.es;0.99;0.93;1;1
crehana.com;0.86;0.89;1;0.93
novoshodnensky.org;0.81;0.96;1;0.93
affinityspotlight.com;0.94;0.98;0.82;1
litres.ru;0.79;0.71;0.75;0.6
finoit.com;0.7;0.76;0.83;0.8
pull-ups.com;0.63;0.87;0.75;0.67
loverepublic.ru;0.7;0.77;0.91;0.6
safex.az;0.71;0.84;0.9;0.87
rylskyart.com;0.97;0.7;0.83;1
filmbaz.co;0.76;0.82;0.92;0.87
badtaste.it;0.41;0.77;0.83;0.73
boldsky.com;0.69;0.93;0.75;0.73
localsearchforum.com;0.73;0.95;1;0.87
fenerium.com;0.76;0.6;0.92;0.8
kink.nl;0.83;0.96;1;0.93
mediccity.ru;0.71;0.83;1;0.93
walling.app;0.75;0.66;0.91;0.8
musement.com;0.66;0.81;0.83;0.8
insights.fastlylabs.com;1;0.93;0.91;0.87
sztar.com;0.98;0.85;0.91;0.93
freejapaneselessons.com;0.88;0.94;0.92;0.93
thebridgechronicle.com;0.85;0.74;0.92;0.8
innovanathinklabs.com;0.63;0.81;0.92;0.73
achievo.org;0.96;0.79;1;0.6
abnews.ru;0.71;0.8;0.92;0.73
discordservers.com;0.96;0.98;1;1
transponder1200.com;0.57;0.88;0.92;0.73
paraloscuriosos.com;0.86;0.73;0.82;0.73
vikatan.com;0.68;0.84;1;0.67
otkritkivip.ru;0.56;0.87;1;0.93
lansi-savo.fi;0.84;0.86;1;0.87
fmforums.com;0.58;0.82;0.92;0.93
motor-forum.nl;1;0.86;0.83;1
armed.ru;0.65;0.67;0.91;0.8
lionsshare.io;0.73;1;0.9;1
ht-exchange.com;1;0.75;1;0.93
jenaroundtheworld.com;0.89;0.96;0.92;1
flumserberg.ch;0.85;0.77;0.75;0.87
funibo.com;0.66;0.93;1;0.87
cemaco.com;0.33;0.79;0.83;0.73
myinterview.com;0.65;0.88;1;0.93
onlinecasino.ca;0.97;0.88;0.83;0.87
hustler.com;0.98;0.75;0.73;1
ilovemychi.com;0.98;0.97;0.92;0.87
mnya.tw;0.39;0.78;0.82;0.67
meusanimais.com.br;0.92;0.96;1;0.87
plussizebirth.com;0.97;0.92;0.92;1
tradinghours.com;0.98;0.81;0.82;0.87
rgo47.com;0.51;0.82;0.91;0.73
olelynggaard.com;0.49;0.66;1;0.8
willcoxwinecountry.org;0.5;0.77;0.75;0.8
nekretnine.rs;0.9;0.68;0.82;0.8
topragizbiz.com;0.96;0.81;0.83;0.87
presse-algerie.net;0.81;0.85;1;0.53
organicbrands.gr;0.88;0.93;0.91;0.67
vietchristian.com;0.9;0.64;0.92;0.87
saurashtrakranti.com;0.87;0.96;0.92;0.8
see5.net;0.91;0.95;0.92;0.93
metimax.ru;0.92;0.88;0.92;0.87
atg.co.uk;0.82;0.8;0.91;0.93
vanitynoapologies.com;0.92;0.87;0.83;0.93
sginvierte.com;0.79;0.98;0.83;0.8
gammatraffic.com;0.88;0.82;1;0.93
grandpx.news;0.82;0.84;0.92;0.8
skavsta.se;0.83;0.94;0.83;0.87
enakliyat.com.tr;0.89;0.74;0.83;0.8
sangam.com;0.93;0.88;1;0.93
power357radio.com;0.98;0.88;0.82;0.73
paradisetechsoft.com;0.6;0.85;0.82;0.8
elo-forum.org;0.99;0.96;1;1
studee.com;0.99;0.94;1;0.81
rentallscript.com;0.76;0.97;0.92;1
latranchee.com;0.61;0.78;0.9;0.73
lafc.com;0.47;0.69;0.83;0.67
bahhador.com;0.65;0.78;0.75;0.73
metaappz.com;0.83;0.78;1;0.8
dailyappetite.com;0.99;0.98;0.92;1
metadefender.opswat.com;0.78;0.79;0.91;0.87
estudosnacionais.com;0.62;0.89;1;0.8
berliner-rundfunk.de;0.49;0.72;0.82;0.93
jina.design;0.87;0.98;1;1
loganair.co.uk;0.89;0.87;0.82;0.73
gentlemonster.com;0.9;0.83;0.92;0.67
qwerty.dev;0.89;0.97;1;0.93
chartmill.com;0.84;0.69;0.83;0.8
kunstnet.de;0.94;0.73;0.82;0.73
persiangig.com;0.91;0.92;1;0.93
sammyboy.com;0.98;0.98;0.91;0.93
nyugat.hu;0.76;0.79;0.83;0.73
bludshop.com;0.75;0.57;0.75;0.8
bzns.media;0.94;0.83;1;0.73
greenmatters.com;0.99;1;1;1
lamejor.com.mx;0.54;0.84;0.83;0.73
asiandatingreviews.org;0.89;0.76;1;0.8
secom.ro;0.57;0.7;0.83;0.6
mmgp.com;0.95;0.96;1;0.93
emp-online.com;0.84;0.82;0.75;0.93
thevillages.com;0.6;0.9;0.83;0.73
21ninety.com;0.55;0.75;0.82;0.73
bukwild.com;0.88;0.93;1;0.93
cruisin.me;0.9;0.88;0.83;0.87
handheld.com.vn;0.58;0.87;1;0.87
amarstock.com;0.36;0.88;0.83;0.87
lenta.ru;0.72;0.83;0.92;0.67
mlum.net;0.93;1;1;1
diycandy.com;0.71;0.98;0.92;1
inbusiness.kz;0.45;0.82;0.92;0.73
akweb.de;0.96;0.95;1;1
purpletrail.com;0.55;0.73;0.92;0.53
titleonecorp.com;0.81;0.93;0.82;0.73
hertfordshiremercury.co.uk;0.76;0.94;0.91;0.73
elvery.net;1;0.96;0.9;1
digitalsurge.com.au;0.61;0.72;0.73;0.67
housefulofhandmade.com;0.92;0.96;1;1
booksdream.com;0.63;0.58;0.92;0.67
stylerunner.com;0.54;0.98;1;0.87
boligsiden.dk;0.94;1;1;0.93
trud.com;0.81;0.91;1;0.73
empireskate.co.nz;0.68;0.84;0.92;0.67
extrastech.com;0.7;0.89;1;1
kellysthoughtsonthings.com;0.97;0.94;0.92;0.93
mamamia.com.au;0.73;0.5;0.83;0.73
uiargonaut.com;0.77;0.84;1;0.8
hdblog.it;0.98;0.84;0.83;0.87
librairie-gallimard.com;0.91;0.89;1;0.93
rishikeshyogpeeth.com;1;0.98;1;0.93
epickr.com;0.62;0.91;0.82;0.93
czarymary.pl;0.88;0.6;0.83;0.67
loja2.com.br;0.66;0.7;0.75;0.93
artnight.com;0.59;0.92;1;0.87
armandl.com;0.99;0.98;1;0.87
verifykit.com;0.59;0.81;1;0.8
sakuhindb.com;0.8;0.75;0.73;0.73
cncncloud.com;0.48;0.76;0.8;0.8
welovetennis.fr;0.46;0.8;0.92;0.67
bundlehunt.com;0.25;0.64;0.73;0.8
gourmetads.com;0.65;0.83;0.83;1
larvf.com;0.92;0.72;0.83;0.67
estrelladamm.com;0.72;0.78;1;0.73
larepublica.cat;0.61;0.84;0.92;0.6
elpais.com.uy;0.55;0.59;0.91;0.67
fsk.ru;0.77;0.6;0.83;0.87
fringeworld.com.au;0.57;0.87;0.91;0.73
fifacoin.com;0.85;0.75;0.82;0.6
zingarate.com;0.89;0.7;0.91;0.8
hardzone.es;0.94;0.87;0.92;0.93
fernsehserien.de;1;0.98;1;1
lastprisonerproject.org;0.91;0.8;0.92;0.8
nzwarriors.com;0.64;0.76;0.92;0.73
assetworks.com;0.66;0.96;0.83;1
